country,year,m014,m1524,m2534,m3544,m4554,m5564,m65,mu,f014,f1524,f2534,f3544,f4554,f5564,f65,fu
AD,2000,0.00,0.00,1.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AE,2000,2.00,4.00,4.00,6.00,5.00,12.00,10.00,NaN,3.00,16.00,1.00,3.00,0.00,0.00,4.00,NaN
AF,2000,52.00,228.00,183.00,149.00,129.00,94.00,80.00,NaN,93.00,414.00,565.00,339.00,205.00,99.00,36.00,NaN
AG,2000,0.00,0.00,0.00,0.00,0.00,0.00,1.00,NaN,1.00,1.00,1.00,0.00,0.00,0.00,0.00,NaN
AL,2000,2.00,19.00,21.00,14.00,24.00,19.00,16.00,NaN,3.00,11.00,10.00,8.00,8.00,5.00,11.00,NaN
AM,2000,2.00,152.00,130.00,131.00,63.00,26.00,21.00,NaN,1.00,24.00,27.00,24.00,8.00,8.00,4.00,NaN
AN,2000,0.00,0.00,1.00,2.00,0.00,0.00,0.00,NaN,0.00,0.00,1.00,0.00,0.00,1.00,0.00,NaN
AO,2000,186.00,999.00,1003.00,912.00,482.00,312.00,194.00,NaN,247.00,1142.00,1091.00,844.00,417.00,200.00,120.00,NaN
AR,2000,97.00,278.00,594.00,402.00,419.00,368.00,330.00,NaN,121.00,544.00,479.00,262.00,230.00,179.00,216.00,NaN
AS,2000,NaN,NaN,NaN,NaN,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,1.00,NaN,NaN,NaN
AT,2000,1.00,17.00,30.00,59.00,42.00,23.00,41.00,NaN,1.00,11.00,22.00,12.00,11.00,6.00,22.00,NaN
AU,2000,3.00,16.00,35.00,25.00,24.00,19.00,49.00,NaN,0.00,15.00,19.00,12.00,15.00,5.00,14.00,NaN
AZ,2000,0.00,9.00,24.00,33.00,42.00,30.00,0.00,NaN,0.00,3.00,3.00,6.00,3.00,0.00,0.00,NaN
BA,2000,4.00,56.00,82.00,99.00,66.00,58.00,77.00,NaN,4.00,30.00,46.00,29.00,29.00,48.00,124.00,NaN
BB,2000,0.00,0.00,0.00,2.00,0.00,0.00,0.00,NaN,0.00,0.00,1.00,0.00,0.00,0.00,0.00,NaN
BD,2000,256.00,3640.00,5643.00,5750.00,4718.00,3667.00,2837.00,NaN,495.00,3029.00,3238.00,2247.00,1315.00,778.00,370.00,NaN
BE,2000,3.00,20.00,57.00,39.00,55.00,32.00,56.00,NaN,6.00,15.00,15.00,19.00,4.00,13.00,27.00,NaN
BF,2000,12.00,91.00,274.00,252.00,133.00,68.00,65.00,NaN,7.00,59.00,128.00,101.00,45.00,38.00,14.00,NaN
BG,2000,0.00,13.00,16.00,20.00,3.00,9.00,10.00,NaN,0.00,11.00,14.00,7.00,3.00,4.00,6.00,NaN
BH,2000,0.00,0.00,3.00,2.00,5.00,3.00,4.00,NaN,0.00,1.00,2.00,0.00,1.00,1.00,1.00,NaN
BI,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BJ,2000,19.00,277.00,428.00,327.00,213.00,103.00,74.00,NaN,36.00,239.00,275.00,149.00,76.00,45.00,25.00,NaN
BM,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BN,2000,0.00,6.00,4.00,15.00,5.00,7.00,15.00,NaN,0.00,4.00,6.00,9.00,6.00,3.00,4.00,NaN
BO,2000,166.00,1182.00,797.00,518.00,466.00,340.00,366.00,NaN,191.00,831.00,588.00,334.00,254.00,192.00,233.00,NaN
BR,2000,1894.00,7268.00,11568.00,11906.00,8623.00,5085.00,4494.00,NaN,1859.00,6719.00,7215.00,5395.00,3582.00,2384.00,2496.00,NaN
BS,2000,1.00,2.00,7.00,9.00,4.00,3.00,2.00,NaN,2.00,5.00,7.00,8.00,2.00,3.00,1.00,NaN
BT,2000,6.00,65.00,41.00,30.00,24.00,12.00,2.00,NaN,7.00,57.00,34.00,31.00,23.00,3.00,2.00,NaN
BW,2000,25.00,185.00,605.00,488.00,267.00,135.00,96.00,NaN,37.00,335.00,469.00,262.00,98.00,57.00,36.00,NaN
BY,2000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BZ,2000,2.00,5.00,7.00,2.00,6.00,3.00,5.00,NaN,0.00,2.00,1.00,2.00,4.00,1.00,4.00,NaN
